# dbox2d conformance trace v1 kind=function name=collide_chain_segment_and_circle ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 1 3f9d70bc bfa2f2c6 bf384fde bf31aa6c bddaf5b6 3da143a8 3e853b24 3fa3b028 bf964249 3f7ed6b9 3dc2d911 | bf31aa68 3f384fe0 00000000 1 3fa805d5 bfa126db 3da9518d 3c65f588 3d0ab59a bdae491f bdc1a028 0
case 17 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 18 4018e030 402a1054 3f659602 bee281a5 3e4dcd9c 3eaf075e 3f8117c2 3fcdc13c 4039cea5 bf2fbdd5 bf3a25c6 | 00000000 00000000 00000000 0
case 18 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 19 3fc53e88 be6e39e0 3f800000 00000000 bd5fc026 3dc7bd8e 3edf6ed8 3fa52e94 be8a5023 3f800000 00000000 | 00000000 00000000 00000000 0
case 19 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 20 c0359deb 3fe9c8d4 3f5a81ba 3f0561d4 be09f17b be05a63f 3e217276 c028a79a 3ff3fc5a 3d9c0f3a 3f7f4175 | 00000000 00000000 00000000 0
case 20 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 21 3f823784 bea2bb44 bdb6b8cd 3f7efaa4 bd894d13 3dfbbc60 3e49c8c7 3fe06e7c be03b16d 3f4cc663 3f19a226 | 00000000 00000000 00000000 0
case 21 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 22 c11663ed c06fcae0 3e721a07 3f78be01 3e6b9dd8 3efccbfa 3f883510 c0e2c8cb c09a29ab 3f33921f bf3674d7 | 00000000 00000000 00000000 0
case 22 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 23 bff49ce9 bf7667ec 3f800000 00000000 3c33ee40 bb6581c0 3e8d40b4 c0097f53 bfdb33f6 3f800000 00000000 | 00000000 00000000 00000000 0
case 23 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 24 bff148e2 bd50e1c0 3f76fd41 3e86a505 be118e57 bdc603f3 3e5433dc bfdc92ec bf48c4f4 3f6e22d3 3ebbe81c | 00000000 00000000 00000000 0
case 24 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 25 bf3e907d 3f03bc08 bf7b37ce be44ffa0 3dfe6f98 3e0d6982 3e1c026b bfeaad36 40a48742 3d18a01a bf7fd27d | 00000000 00000000 00000000 0
case 25 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 26 411104e2 c0a17ac3 3f74a800 be96b8ff bedfa7bf be34c56a 00000000 40a66d31 c18fdbc2 3f1c466e bf4ac41f | 00000000 00000000 00000000 0
case 26 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 27 bf764fec bfb7526e 3f800000 00000000 3da1fa12 3df0f918 3e14eb5e bf94e510 c0c5d49c 3f800000 00000000 | 00000000 00000000 00000000 0
case 27 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 28 400f729e 3f6e9fe0 3d9d3ecd 3f7f3e8a 3a870100 bb94f460 3ebc7992 40de9251 3e905408 bf38ec5a 3f310784 | 00000000 00000000 00000000 0
case 28 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 29 3f5d80bc bf08b411 3f7ca817 be24f484 3dc303ee be091712 3ea55be4 3f6245b3 bf43d815 3f62d140 beed66cc | 00000000 00000000 00000000 0
case 29 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 30 c0898393 bff6c3f0 bec13110 3f6d1394 bdcb4998 3c45c180 3f55d42b c05f5932 bff60515 3f6a7956 becd80fe | 3f6d1394 3ec1310f 00000000 1 c0890576 c00a29cf 3c7c3a18 be6c7d6f bf4ac6e8 be727447 be154540 0
case 30 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 31 401908b2 3d33a180 3f800000 00000000 bd12e926 bd39b974 3ecefab8 4018723e be397e07 3f800000 00000000 | 3393f5d2 bf800000 00000000 1 40162699 3de2f16c bd38862c 3d8920ac bd12e92c 3e957b5e be0920ac 0
case 31 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 32 bfa44a48 be990d30 3edf7fb1 3f66525a 3d1aac68 3e111ff0 3e21f077 bf88002f beb7bb5a bf60bb56 3ef534ff | 00000000 00000000 00000000 0
case 32 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 33 be37b570 3e8e9320 3f724d2b bea53d4d 3ad50200 3d978862 3ed6f8c8 3c3d0e50 3e31e89a 3e55ca33 bf7a5bc7 | bea53d4d bf724d2b 00000000 1 3e1bca78 3ec601d8 3ea9bff4 3dddbadf 3e0ff993 3e5a1b16 bed6801b 0
case 33 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 34 40112420 c10fea60 3f5a5a8b bf05a1f3 3ddeb9c0 beda2bb4 3ea9ef54 40111e4a c11241c2 bebe4a90 bf6da985 | 00000000 00000000 00000000 0
case 34 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 35 3f35ab70 3f877610 3f800000 00000000 bdfe4930 be07370f 3e4068b4 3f72c084 3f82a943 3f800000 00000000 | 33bcbd46 bf800000 00000000 1 3f52f75e 3f88a2c4 3dea5f6e 3c1659e8 bdfe4932 3d3f301a bc9659e8 0
case 35 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 36 3e822d08 bf923224 be7fe39c bf77e0ca bd76d9f0 3cb01160 3e24127c 3e8b040b bf6cd94b bf59ac8f bf06bc9f | 00000000 00000000 00000000 0
case 36 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 37 bfb0f3e2 beb18b60 bf2ae87d 3f3e9849 bdaf06f8 bc871dd8 3e80749a bf51fd98 3e1950a4 3f31523e 3f38a4b4 | 00000000 00000000 00000000 0
case 37 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 38 c01f6640 410c2cd8 beb10f38 bf703482 3e74d5e8 bdce999c 3f8eb89d c096754a 411fd961 3e66d77b bf79690a | 00000000 00000000 00000000 0
case 38 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 39 3f8e7e1c c01290a5 3f800000 00000000 bd358fd2 bd6976a2 3ed452c2 3f916c6f c04290a5 3f800000 00000000 | 00000000 00000000 00000000 0
case 39 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 40 3fe362c8 4021d2c4 bf7a2cd6 be59325f bd90fd23 bcaf2af8 3e7ccf2d 3fd7c89e 4051ae8a 3f27948c bf418704 | 00000000 00000000 00000000 0
case 40 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 41 3f258848 3ea66348 be1bdc39 bf7d046a be0e3a50 3d695038 3dea943c c081cde9 3f7e69e3 3f7df8a0 3e00a9b6 | 00000000 00000000 00000000 0
case 41 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 42 40900ea0 c0225444 3f2438a1 bf4462c5 beaa0354 3ec93f92 00000000 c0aad97a c13d01a7 3f19f9e3 3f4c8472 | 00000000 00000000 00000000 0
case 42 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 43 c0376eef bf2baf58 3f800000 00000000 3d2e8c94 3d86f040 3e25a47f c0487b51 c0ad75eb 3f800000 00000000 | 00000000 00000000 00000000 0
case 43 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 44 bf0c3b18 3fc92e90 3eed34e3 bf62de4c bd523672 bdeeedde 3dc2bbec c0954471 bf4e5e34 bf7f88c3 3d76f997 | 00000000 00000000 00000000 0
case 44 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 45 bf9422a8 beec9bd8 3d2ee72d bf7fc43a bdb68bd4 3d441324 3e10c555 bfb1d755 be9a4cd9 bf7bd266 3e383fed | bf7fc43a bd2ee705 00000000 1 bf952c2c beb77333 bc04c202 3dd4a294 3e655948 bd6932d0 3befff00 0
case 45 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 46 c0de073c c0bf61fe 3f5b851f 3f03b53a 3e686dd0 3ec15f82 3f8a3954 c0dbecc6 c0da1bf1 3eb0d47f bf703f53 | 3f03b539 bf5b851f 00000000 1 c0df8da0 c0bf9e70 bd4331ca bbf1c9ac bde83665 3f53ec05 bd150400 0
case 46 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 47 3f5fffc0 3e6779c0 3f800000 00000000 3db2a09a be030fd3 3e90ebbc 3f7aeaf6 3a89ac80 3f800000 00000000 | 00000000 00000000 00000000 0
case 47 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 48 3e203940 be5db9c0 3efa1ba1 3f5f60a4 bdb9d3da 3d282c84 3ec4e0a4 3e982bbb bed9f9ac 3ef48a9e bf60e9bc | 3f5f60a1 befa1ba8 00000000 1 3d4468c6 be43832a bdde3e1d 3cd1b4b4 be7f3d44 3e70702e be5b8826 0
case 48 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 49 bfa8b9d1 bf9710ae 3dc71588 3f7ec99f bc04ade0 3e18fb32 3dab03bd bfa2ee24 bf8d1b0c 3f6bac7b 3ec7f055 | 00000000 00000000 00000000 0
case 49 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 50 c0b01be0 c0fc2578 bf53c2da 3f0fd9f5 bed2dba6 3ec9af94 3fbe46bc c0a4b09f c0ff1157 bf59ee61 3f065210 | 00000000 00000000 00000000 0
case 50 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 51 c01beab8 bf6ac7d8 3f800000 00000000 be06f175 3d86c040 3e150f5e c00f8cdf bf746172 3f800000 00000000 | 00000000 00000000 00000000 0
case 51 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 52 bdae3160 bfa13e42 3f603ffc 3ef6f718 bd4b4ffc 3db630a0 3e6ffd13 3ba1a410 bfa06154 3f782c21 3e7b489f | 00000000 00000000 00000000 0
case 52 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 53 bf8e739d bf323665 bf7fefcd 3cb624e9 bc18a130 3cd7ab48 3e3990a6 bf951ccb 3d6219c0 be811539 bf77bb04 | 00000000 00000000 00000000 0
case 53 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 54 beb4c960 c00b7a18 3f550f1c bf0dec07 bec44788 3c96a120 3f9ded3c bfe42618 c087652e 3f4a5e84 3f1cc9e8 | 00000000 00000000 00000000 0
case 54 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 55 40085590 3f87a010 3f800000 00000000 bd7f7066 bd1725fc 3e436eba 40093452 3e9e8040 3f800000 00000000 | 00000000 00000000 00000000 0
case 55 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 56 bfd92ab2 bfc5f28c bf32da68 3f3728f1 3d5549ac 3e07bd76 3ea60266 bf82e771 bf94e0e7 bf7bbded 3e39fd90 | 00000000 00000000 00000000 0
case 56 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 57 bfaf5bdf bf7472e9 bee7403c 3f646683 3e11e98a bd8b19e4 3e429fb8 403fd590 3f6f48bb 3f32460a 3f37b95d | 00000000 00000000 00000000 0
case 57 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 58 3fa5fb48 40276850 3f7ba37b be3c36ac bea30f46 3e9fd340 00000000 c003e0ae c127d8f0 bf50430c bf14df54 | 00000000 00000000 00000000 0
case 58 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 59 bed38da8 c00fcfa0 3f800000 00000000 bd04b2a4 bdd640e0 3e34ad9d bf18e632 c0dfe7d0 3f800000 00000000 | 00000000 00000000 00000000 0
case 59 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 60 3f6d67d8 c039dbf4 bf77d9bc be802874 3de2d5c8 3d414320 3ee1d8de bc9178e0 3fe0ff00 bf7ef5d0 bdb8660e | 00000000 00000000 00000000 0
case 60 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 61 3e030508 3ed99fb8 be91c7e5 bf75675c 3b09b480 3d82aea0 3ea9c3ec be28525a 3e6ca236 bf2553dd 3f437490 | bf75675c 3e91c7e5 00000000 1 3d8f317a 3ddb2c68 bd6db12c bea2d49e 3e6feb17 bdfe1804 bd8f0bc0 0
case 61 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 62 3f6205d0 405fbcbc 3f7e4c53 bdebc1bc bebb1776 3dc77990 3f6f5b5f be2ea088 40373aa2 3f6fae5d beb3e0a1 | bdebc1d8 bf7e4c53 00000000 1 bec8af9c 40750944 bfa32ecf 3eaa6440 be62beb0 3f773a88 bebc3d12 0
case 62 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 63 bf2e2b5c 400d419a 3f800000 00000000 bd9569f8 3d7229e4 3ea16edc bf49bafa 3ffdb667 3f800000 00000000 | 00000000 bf800000 00000000 1 bf5c6839 401209a8 be38f374 3d9901c9 bd9569f8 3e9973a6 be1901c9 0
case 63 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 64 bfd198a3 c033aee7 be84f758 bf77376e 3dcd7f34 bde3742e 3e26d081 bfe85fba c0269574 3f2c7412 bf3d32a6 | 00000000 00000000 00000000 0
case 64 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 65 3fb35ae6 bf010402 3f32baf9 bf37479d 3e045fd6 bd8d851c 3ee4ad62 3f9a03cf beb59756 3f2e4aef 3f3b813d | 00000000 00000000 00000000 0
case 65 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 66 40415880 40ca8e14 3f0529b0 bf5aa3f6 3deb09d8 bb8b8100 3fb091e1 403042cb 40d0e415 3ec2af3c bf6cc55e | 00000000 00000000 00000000 0
case 66 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 67 beec4dd8 3ef7d5f0 3f800000 00000000 be12a259 bcb14498 3dcf2205 bf195f66 3ee4a2bd 3f800000 00000000 | 00000000 bf800000 00000000 1 bf3e07fc 3f014b39 be8fc220 3cac0826 be12a258 3d6f9dab bd2c0826 0
case 67 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 68 40098a92 c01629ac bf7d59bd 3e12f128 3d4d9004 bcc117e8 3da185aa 401bc312 c0166131 3f65161c 3ee48557 | 3e12f127 3f7d59bc 00000000 1 401ebb94 c01a462d 3ea9880d bd839024 3d3e2068 bd793f08 bd03911c 0
case 68 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 69 bf0c6218 bf385a71 3edecb6f bf667dff 3d97aec8 bdd8d74c 3de1e22b bf8d116a bfa62458 3f6361ac 3eeb3baa | 00000000 00000000 00000000 0
case 69 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 70 c0443c88 bfe917d0 bf1a76fd 3f4c2606 bee9fbd4 bd6811d0 3f88c392 bf8d8840 be899b44 bf7b1f7e be46ed2f | 00000000 00000000 00000000 0
case 70 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 71 3f7ec000 402d81da 3f800000 00000000 3d804d02 bcf5251c 3e436bba 3f977c17 3ffb03b4 3f800000 00000000 | 00000000 00000000 00000000 0
case 71 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 72 3fffdd00 c01881b1 bf78c7a1 3e717b8e bd006c34 3d765d24 3eb9150c 40118233 bfd6c1fc befb16b4 bf5f1a2f | 00000000 00000000 00000000 0
case 72 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 73 3e6c7dd0 3f5102a0 3f76d8db be87af0a bd6b1370 bdeafdd6 3e599ae6 bfa65a48 c06c1902 bf615c71 bef2e2c3 | 00000000 00000000 00000000 0
case 73 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 74 40e45148 be5f71c0 3f7fe053 bcfeaf2a 3e7fc600 3eb9bf74 00000000 40cde257 c15b3f35 bf346cbd bf359caa | 00000000 00000000 00000000 0
case 74 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 75 3ea5b550 3ed465a0 3f800000 00000000 bdec9f74 3ddd7424 3e8ce534 3e9dc5a7 c08ab9a6 3f800000 00000000 | 00000000 00000000 00000000 0
case 75 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 76 3f62cfc8 c0145ea9 3e94bbdf bf74f5d7 bd93385a 3dbc3a46 3e20a374 c06c7004 c06544cf bf101fe2 bf539347 | 00000000 00000000 00000000 0
case 76 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 77 3f10d624 3ef643ec 3f5c58a1 3f025229 3d9caba2 be0c6b19 3e9dfcd6 3ee413ac 3e17fd54 be8d451e bf760ff9 | 3f025227 bf5c58a2 00000000 1 3e2cc86e 3ea4e833 becb4811 be22b772 be8daf75 3e31d312 be05d362 0
case 77 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 78 3ff64be8 c0882a90 bf476899 bf20898c bea49749 be3d6d7a 3fa9b454 40010258 c04dfdeb 3f6a6a42 becdc5bf | bf20898c 3f476899 00000000 1 40171443 c084a501 3edf7276 3de163ae 3eb08f56 bf6d305e bec076e4 0
case 78 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 79 bfae5e5c 4035a9ec 3f800000 00000000 bda3f215 bd4f7006 3e95e0c6 bfaf3caa 40274386 3f800000 00000000 | b3ae2344 bf800000 00000000 1 bfb97bcb 403635e5 bdb1d6f2 3c0bf950 bda3f212 3e6f25f5 bc8bf950 0
case 79 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 80 bf70dfe4 bfd888b1 3f465819 bf21d9bf be0638a6 bc894aa8 3e847e22 bf5f6801 c0026a9b 3f65d849 3ee17420 | 00000000 00000000 00000000 0
case 80 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 81 be210540 3f38a270 bf7fffb9 bb3ff81e bde8edd2 bc032dd0 3ede0e56 bc9c9bf0 3f425691 3f4af01b bf1c0d4b | bb3ffef1 3f7fffb9 00000000 1 bde8317c 3f0e0cfa 3d33b207 be2a55d7 bdc10a80 be51265b beaa7756 0
case 81 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 82 c1022044 c06c6ed8 beeb4136 bf63603c bdfdc9fc 3efdcbfc 3fa16243 c1004390 c04c9fbd bf15b2a8 bf4fab5a | 00000000 00000000 00000000 0
case 82 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 83 3fb5066c bf24fb48 3f800000 00000000 bd9671fa 3d86c50e 3df66a54 3fda7d6a bf2e94e2 3f800000 00000000 | 00000000 00000000 00000000 0
case 83 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 84 bfd786af 3f296350 3f6279f3 beeeb343 3d8eb852 bca857b8 3e8623a6 bffaf06c 3f43dc64 3f7f815d bd7e8224 | beeeb362 bf6279ea 00000000 1 bfe98ecd 3f5e4cb1 be1040ef 3e53a584 3e0b0cf9 3dd38268 be6ff883 0
case 84 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 85 bf1f3a3e bf5978b3 bf5e910d befcfba9 3b8f8de0 bde8329e 3e8d43b4 bf8a0bf2 be7c3160 be7dfd9c bf780007 | 00000000 00000000 00000000 0
case 85 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 86 c002ec06 40b890f2 bf7f9629 3d68b24f 3efa03f4 be8e4b1c 3f0a9295 bf8b7375 41037a2d 3f6d4d3e bec0150d | 00000000 00000000 00000000 0
case 86 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 87 4030e7e2 3f39d774 3f800000 00000000 be15ecc6 3d741384 3db925d9 401fea33 bcc51180 3f800000 00000000 | 00000000 00000000 00000000 0
case 87 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 88 bfae525c bfae6a5e 3f141fe1 bf50cb61 3dad8bc2 3c7a21f0 3e930040 c0060919 bfd02e9b 3e164e85 bf7d3a28 | 00000000 00000000 00000000 0
case 88 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 89 3fb86af0 3dcaf9a0 3e9533b7 3f74e39e 3cff0b98 3d6ce9dc 3e2e148f 40c1464a bf8d4970 3f7f696f bd8abeb0 | 00000000 00000000 00000000 0
case 89 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 90 c0a88cd1 407902f4 3f770db8 be862c04 3ec80390 3eac3f58 00000000 c1070427 c113ca60 bf5a9207 3f05471c | 00000000 00000000 00000000 0
case 90 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 91 3f01eb00 4006278c 3f800000 00000000 bd94ed2a bd88f1df 3eab0970 3ea44e74 c029d874 3f800000 00000000 | 00000000 00000000 00000000 0
case 91 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 92 bec17580 c0103ea0 3ea3eb68 3f728685 3d59b684 bdfa845c 3eca072e 4080e936 c081a7c0 be5adfff 3f7a156e | 00000000 00000000 00000000 0
case 92 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 93 3f22be44 bf696ed2 3f18ae81 bf4d7c4c 3d92438c 3d843d08 3e44b8bd 3eb49de9 bf688641 3ed5afbb bf68a361 | bf4d7c4d bf18ae80 00000000 1 3f16d804 bf561773 bd3e6406 3d9abaf6 3e72243c 3d93766e bc7df360 0
case 93 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 94 3ff78bf0 3f2f8d60 3f13af55 3f511b0c be9a0f34 3d96e930 3f822984 4046791c 3f84e6b4 3f2bdf7c 3f3db9ab | 3f511b0f bf13af51 00000000 1 400aba5e 3fabe1d8 3e6f4668 3f283651 bf6efaf6 3e9bec92 bec0b7d4 0
case 94 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 95 3fc95890 3eb06560 3f800000 00000000 bd87250e bc95e460 3eb00d7a 3fcfd9ea 3df4c8b2 3f800000 00000000 | b3ddf35a bf7fffff 00000000 1 3fc76799 3eca2360 bc787b50 3d4deffe bd87250a 3e8cf133 bdcdf002 0
