# dbox2d conformance trace v1 kind=function name=collide_segment_and_circle ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 bedc1b1e 3d94cdf2 3e89fefa 3d3a2f18 3f9d70bc bfa2f2c6 bf384fde bf31aa6c bde4f8fe bde7a29c 3e716b16 3f98e297 bfa16f68 3f7ed6b9 3dc2d911 | bf2a5e41 3f3f13e3 00000000 1 3f98c16e bfbf7ee9 bd15e9b0 be64611b ba84a200 be707c0b be3090bb 0
case 19 bf00caa3 bd6fa373 3edf1ab5 3c62b80c 3f77abf0 bfa5044a 3f526af6 bf11cf29 3df4dab8 3b0fb480 3e837620 3f7cb443 bfa91ab7 bec13110 3f6d1394 | 3f013658 3f5cff85 00000000 1 3f5b52f1 bfad435f bde2c7fa bd83f14c be058549 bd0514f8 be3c0f7c 0
case 20 beeb1983 be13ee50 3f0a155e 3eaae069 beb7a370 bee827d0 bf3869fd 3f318f4f 3e111ff0 bdaafa23 3e75d61f bf362795 3e555fa0 3e67cc22 bf795adc | 00000000 00000000 00000000 0
case 21 bee5f030 be6eb3b0 3f51ad54 3f5cd1ae 3fed9fe0 bf855308 3e55ca33 bf7a5bc7 bdb2d964 be9eef3e 3f6c2c58 401d9bfd c05de31c bf202552 3f47b920 | 00000000 00000000 00000000 0
case 22 3e78a9a8 bdfa9f9f be42296c 3e4e96a4 3f270b50 c023a0c7 3f800000 00000000 be07370f bd747384 3e8e8937 bd0d5560 c036e1a6 3f800000 00000000 | 00000000 00000000 00000000 0
case 23 3edc1b2c 3d317fa3 becb998a be2a0c4b bf923224 bfdeacbe bf59ac8f bf06bc9f 3de11290 3d1d8fa4 3e849622 bfdb379a bfa05a9d bf1fe0ca bf47f000 | 00000000 00000000 00000000 0
case 24 be8ecec6 3f071a1a 3e109d0a bf1fc358 bf5ac8b5 be28e550 3f7b16ed be4799e6 bcf7eb88 3d6bf03c 3eaa05ee c099f0a9 401db604 3f358d30 bf347c50 | 00000000 00000000 00000000 0
case 25 3fc9d32d 3f1c2ef9 bf90fa7b 3cb47960 c0f44668 3f436590 3f196d7c bf4ceddc bdef09e0 be71a5e4 00000000 c1051786 4163ef32 3ebd10bd bf6de819 | 00000000 00000000 00000000 0
case 26 bf01bf99 be0409c6 3f0e3a3f 3bb7df98 bedaf5b8 be7fda00 3f800000 00000000 be0e3a50 3d695038 3dea943c 3f19bc3e 408c66a5 3f800000 00000000 | 00000000 00000000 00000000 0
case 27 3eb31a27 3e1891a5 beff9ba7 3ce46fbe 3facde58 bf42cb88 3f2438a1 bf4462c5 be086311 3d2e8c94 3eb0917a 3f79e8f4 407e5b16 3f19f9e3 3f4c8472 | 00000000 00000000 00000000 0
case 28 3e89a7fd 3dfe73af bdf379f1 be4e0e42 bf4e509c be8c3b18 bd9bdc81 3f7f41f0 bded0441 bd3d497c 3e2f5e92 bf4d66fb beff6a98 3eed34e3 bf62de4c | 00000000 00000000 00000000 0
case 29 bfae6288 bf62b4d4 3f578d85 3edfc0dc 4116de6e c0b5e3ec be961758 bf74c0d7 be3f257e 3e686dd0 3fac6dd9 410e2559 c0a568aa 3f09da8e 3f57b6ad | bf787c57 be7647ba 00000000 1 4118e560 c09ee3d7 3e01bc9f 3f3800a6 3f2c0078 3e509a58 bf3566a2 0
case 30 3f006a45 3e974470 bed873b9 be28906c 3f7bbff8 3f5fffc0 3f800000 00000000 3c002dc0 bc316160 3ea6d2e6 3f99dc58 3f6d9937 3f800000 00000000 | 3ee42086 bf652f37 00000000 1 3f8e9ab5 3f8e0aed 3e05d5c8 3e705866 bdb41a30 3e39f28a be631ecd 0
case 31 be19170a bf1b62e8 bd45862e 3edc2234 bf833806 bf91a823 bea65f83 bf721b7f 3d279c84 bc04ade0 3ee60366 bf4d6e34 bf8d891a 3f270f9b 3f41f9d2 | 3ed4a7b4 3f68dfd3 00000000 1 bf6093a0 bfa86a8c 3e1771b1 be361348 bd992b5e be570b90 bec2abed 0
case 32 3f0bc470 bf0d8fc1 bf1fb972 3ebc3cab bfb74aef bf5354a7 bf493d25 bf1e3ca6 bdf9778d bd3bd312 3ec43ba2 bfb2861c bf523d1e bf53c2da 3f0fd9f5 | b9c88400 bf7ffffc 00000000 1 bfa250e3 bf193bfc 3e27d063 3e6862ab 3e01a9cb 3e640487 be85331f 0
case 33 3d746fa5 3cedbf9d 3d771c3b 3cf3f423 c10c90d9 408c5d98 bec2755f bf6cd141 be296d52 3e97d330 3f47fd90 c10e8c19 408ce8c7 3f7ef53d bdb898a7 | bf0f685c 3f540fda 00000000 1 c10b2063 40863003 3db83ac2 be45b2af 3e5aed61 be57188f be9cca99 0
case 34 bf16ae40 3e0533e3 3eea797b bda0d5c0 c00e739d bfb23665 3f800000 00000000 bd852d0b bbad8e20 3e62f4f9 c010d9dd bfb21b13 3f800000 00000000 | be482db1 bf7b0f92 00000000 1 c0136533 bfa28e11 bd9e32ce 3dfa853a bd22d59c 3df8d01a be3d2538 0
case 35 be21d39c bebbfaf6 3e930c39 3f06e3f3 bf0f8f20 3f211744 3f7c8329 be2873c6 bd7f7066 bd1725fc 3e436eba bf05f865 3f20a083 bf3e4255 bf2b4828 | bf4f434d 3f164296 00000000 1 bed66bb9 3f22f2ef 3e11650e 3bedd584 3dd61444 3c149b02 be353ba3 0
case 36 bdb38b79 bde86395 3e29c15e 3e9fe6fe bf592ab2 bf45f28c bf32da68 3f3728f1 bdc38f22 3dc758c2 3e9edc58 be03b0e4 bf0fed7a bf7bbded 3e39fd90 | 00000000 00000000 00000000 0
case 37 3f4923ad 3ef076bd bf16eac9 bf036df4 c118eb72 4117fdf0 3e18d73e bf7d21e2 bea30f46 3e9fd340 3f49f694 c103bb42 40ec211e 3eb39474 bf6fbca3 | 00000000 00000000 00000000 0
case 38 be574b27 be7a2024 3d5a69fc 3e10611c c00fcfa0 bfeb9cd7 3f800000 00000000 be0d4f1b be153ff8 3dd73816 bfd4e550 c013f074 3f800000 00000000 | 00000000 00000000 00000000 0
case 39 3ecc4e88 bd99defb bf083815 3e739dca 400dc59c 3f7193e8 bf7d1ace 3e199254 3d82aea0 3d625690 3e8ee038 3fd49e92 3ee05de0 3f76c18a 3e885848 | 00000000 00000000 00000000 0
case 40 befc781e 3ee95b46 3f09747f bede4cb0 3f063e0c bd5ef1c0 3f6fae5d beb3e0a1 bd5c7cee bd9569f8 3eac3cf2 c06b28a9 c011a183 bf7f1807 bdac29c6 | 00000000 00000000 00000000 0
case 41 3f1b25eb 3f8c3b52 bf7c122d bf180723 40343868 c0aea9dd bf7abbe4 be4ea139 3eef23de be2c0558 00000000 c101abf4 401ea26c be84f758 bf77376e | 00000000 00000000 00000000 0
case 42 3f29af18 bdac8936 bef01650 bc9ef9ca bf431388 3f48ef90 3f800000 00000000 3dc273ec bd484ff8 3e4491bc c097eafa bfe654c0 3f800000 00000000 | 00000000 00000000 00000000 0
case 43 3eed1f62 3c53d24c beda88f0 bdedcd24 bf6c83d8 3f304760 3f7fe7c2 bcdecf37 be042fd6 3ddc10ec 3ded4641 404dfff8 bfd155e4 bf526042 3f11de9e | 00000000 00000000 00000000 0
case 44 be0a67f6 3eb428ae bdae7b36 bede461c 3fb74aee 3e61cdc8 bf7b81b2 be3f03e3 3cba6b10 3e0f03ea 3eb5cd04 3f9bd63c 3e93af68 3efe8896 3f5e1fce | 00000000 00000000 00000000 0
case 45 3f8f1a75 3edc4031 bfe92de9 bec72507 c0e1e044 c101e1c4 3f12338d bf522544 3e1e7d3c 3e29d554 3fb84b70 c0da6f75 c0ecf243 3f572da4 bf0ab015 | 3f2330ce 3f453e37 00000000 1 c0e9e5f9 c1032eb6 be805b4e bda67926 bef7683e bf4b594d bf2c6920 0
case 46 3f0a3794 3f03cb4d bf203b1a bebad44d 3ff118e4 3fa06040 3f800000 00000000 bdcba8cb bd4e0cd0 3e64aafd 4004359e 3f8f7a61 3f800000 00000000 | 00000000 00000000 00000000 0
case 47 be4b449f 3e257990 3c110e70 bebef9ee 3f99fa34 3fcaba94 3f628b75 3eee70c9 bd23d2e2 3ddb2f50 3e844e22 3fb61b55 3fd0e853 be0f9325 3f7d78a0 | 3f28198c 3f41138a 00000000 1 3f95fc43 3fb3c747 bcff7c5c be379a66 be807c4a be69085e bd6e2f20 0
case 48 be89e7d4 3d7e68f9 3e96556c bcfdf19a bc6f4200 bf8fcca0 3f224bd5 bf45fac9 3ddd7424 3c2647b0 3ea2c060 bc04152c bf8b12aa 3ab99319 3f7ffff0 | 3f5dcf1a 3effa17c 00000000 1 be369f4a bf890d79 be27ab2a 3d57e4e7 be2e5df7 3c814c4e be881246 0
case 49 3e6b1760 be58cc12 3e6b7a50 be57d950 c0f7486e c0822184 bf101fe2 bf539347 3e242d48 3dade958 3f01d784 c0fabb03 c0801a44 3e99b06e bf7431c5 | 3f7fef61 3cb87370 00000000 1 c101f4cd c0847b0f beca12ca bd9662d8 be92e97a be0c196c be3a6a72 0
case 50 bd1c119c 3e974a3a 3dbf414c be811f8e c02e9edd 3fc3d688 3f800000 00000000 bca15e10 bddd9a89 3e115b56 c030eed0 3fc28d61 3f800000 00000000 | bf78ed2b be6f0d57 00000000 1 c02a3c28 3fb88602 3d8c5698 bdb50866 3dd654f8 bda075f6 bce66c64 0
case 51 bed4132a be706846 3e969862 3e229e44 bf8e121c 400a7d96 3e14bf28 bf7d48e4 bdad3a27 bd05d2a6 3e944ec2 bf8db79c 400818db bf7c4721 3e2dfba1 | 3f4b5775 3f1b8688 00000000 1 bf945d6b 40025801 bd4969d8 be025954 bd54b9d8 bdb81b48 be66183a 0
case 52 be722638 3de367cb 3eb0770a beabf226 3faddedc bfa7c6d0 3f7046e1 beb0ab5f bde8edd2 bc032dd0 3ede0e56 3ff855c5 bfe45d9f 3f7f7c96 bd81a1d4 | 3f7d0644 be1bac18 00000000 1 3fbda893 bfddafc2 3dfc9b6a bed7a3ca beeab4ca 3d55bb90 be2e9aca 0
case 53 3f24b0f8 bfc396cd bf5446d6 401161a6 c1022044 c06c6ed8 beeb4136 bf63603c bddbf9b8 3ef9c3f4 3f11a4a3 c125f288 c0253be2 bf15b2a8 bf4fab5a | 00000000 00000000 00000000 0
case 54 be52d5aa bb4339c8 3e82d354 bd01dcb4 3fa87650 c01197a3 3f800000 00000000 3d8eb852 bca857b8 3e8623a6 3f95f19f c040b0da 3f800000 00000000 | 00000000 00000000 00000000 0
case 55 bed6c30e be3abc9c 3eda2062 3c496a68 bf9f3a3e bfd978b3 bf5e910d befcfba9 3db12efe 3e16dcc8 3e755e1f bfa11a5b c01cba01 be7dfd9c bf780007 | 00000000 00000000 00000000 0
case 56 3f1e0665 bd5f31b4 bf10163d be1417c5 bf9c92b9 3fbb82f8 be34546d bf7bffc9 be0cfb1a bd8b7517 3e35979e 3f3cecea 40b95116 bddc886a bf7e82f0 | 00000000 00000000 00000000 0
case 57 bff1aec4 bd519a68 3ffe489e 3f458496 c0425c84 c09126a2 bf138b7a bf51345b bc2e4160 3ea1b744 00000000 c0ddfd2e c18baeaa be51150f 3f7a9b5a | 00000000 00000000 00000000 0
case 58 bf3d2aa2 3e69d048 3f1ed3d8 be102b62 3f1f6740 3f941228 3f800000 00000000 3d6946a0 3df00448 3ec6fe28 3f3950a9 c065e540 3f800000 00000000 | 00000000 00000000 00000000 0
case 59 3eed082c 3ece1526 bec11154 bedc9790 3f01eb00 4006278c bebfec78 bf6d5573 3dae8090 be15cb2c 3ea86aea c08458ff 404635da 3d46c021 bf7fb2ce | 00000000 00000000 00000000 0
case 60 bdb12bb4 bf29c19d 3b9c7988 3f08cf01 bf9c92b9 3f87418e 3e74635e 3f789a38 bd66a69a 3ceda510 3e8cfbb4 bf82064e 3f926b55 beaae5d4 bf715178 | 3e9fa1be 3f733d4d 00000000 1 bf8661d9 3f716428 3e318700 bde8f79e bd0b7160 be4dca07 bd14e060 0
case 61 bfc95cfa bedce312 3fdf2866 3f531dd1 4042ca88 402a1054 bf7e10f3 3dfb406b be613dc2 bd79d1f0 3f92b5e6 40158d4d 401a0502 bea1a5c7 bf72e80a | be7275d7 3f78b869 00000000 1 402138d6 3ff786ea bf0646c6 bf39337d 3e3ab898 bef20c6a bf5992d8 0
case 62 3eacf55c bec3a135 bf05b366 3e5ce87a bf939a28 bf90f422 3f800000 00000000 3da5d6e6 3d35f96c 3eabd872 bfafc0ff bf8ae09b 3f800000 00000000 | 3f121c62 3f523560 00000000 1 bfb5ed0c bf9cfb7d be894b92 bdc075b7 bd4581b0 be10d714 be5fca5f 0
case 63 3e52fea0 bdacf0f1 be5ab8e2 3daa07b9 c013d1a8 400d2c9a 3eee12a2 3f62a434 be06830d bcfb11f8 3e1fda73 c00d7be8 40003e18 bf7a09fd be5bb0b4 | 00000000 00000000 00000000 0
case 64 bece7389 3eecf01a 3f08f5fb bed3b102 bfac16d8 bf5d0eba bec6f892 bf6be0e2 bd9dda09 3d149928 3eb8bc8a bfa9471c bf64d6a5 bf7f33ee 3da17ec5 | 3ed0f8ef bf69b4d0 00000000 1 bfaa57f4 bf4086e0 3c5f7236 3de43ecc bc086bca 3e113f12 bea2fcba 0
case 65 3ddaf528 be801a4b 3ddcfa48 be8004b5 c005940c 40963aac bf4758de 3f209d14 bc6ac1e0 3d0a3110 3efc5bf9 c00d6365 4097188d be8aba12 bf766c83 | bf10fed4 bf52fac0 00000000 1 bffa1c4b 40a16f47 3e085e69 3eb349b6 3e82a9fc 3ea56ba6 be5a1e36 0
case 66 3e5fab14 be49065b be0730fe 3df5d316 3ece9598 bfe980d3 3f800000 00000000 3dd9f750 3c2ac7c0 3e891dac 3ed87fd8 bfe5648d 3f800000 00000000 | 3f2b8961 3f3e0788 00000000 1 3ecd495d bff64167 bb261d60 bdcc0940 bcb367ac be06e6d0 be1c3cae 0
case 67 beac7fc8 bca2d418 3ef9fd4a bc8fafe8 c035c1ec 3fca1294 3ec44f8d bf6c6f5e 3e078fdc bdb1b564 3edb18d0 c0339c00 3fc7ee95 3f5f6b59 3ef9f55c | 3f6c27fa 3ec5a61e 00000000 1 c03b9760 3fb75f8f bdbaae7f be15982b bdff6bff be047833 be78f460 0
case 68 bda8b8be bedf982b bd526b9c 3ea3c9cd 3efa1bf0 be48c590 bea0b81f 3f730f73 bdd6d0e2 3d726380 3e96b146 3dc6dd70 bf55f9af bf1ed7c3 3f48c2cf | 00000000 00000000 00000000 0
case 69 bf91035e bd88945c 3fbb8572 3f28503c 411af876 bfe4b7c8 3e9de225 bf73864a bea75b4e 3efc2ff8 3f502a20 413a8c99 be813734 3f760d61 be8d572d | 00000000 00000000 00000000 0
case 70 3e9b4416 bef74e2e be3dc0a0 3f0beeab 4002bb84 401aacb4 3f800000 00000000 3dec95d8 bdd5e0e0 3e1a7c68 401062e1 3fd950a5 3f800000 00000000 | 00000000 00000000 00000000 0
case 71 3d13a4f8 3e87069e 3df189fa bed446ec c01b33b6 bdefd1e0 bf7c66f8 3e2b12a7 3db72570 bdb0e22f 3e26ee82 bfd6df40 be43a8ad bc81130f 3f7ff7dd | 00000000 00000000 00000000 0
case 72 be35ef2c 3f36b054 3c99dd94 bf0fab60 3dfaca00 bd86e900 bf75c279 3e8f5ccb 3dfe4930 bddde756 3e957044 c06e1427 402e816f bf421c9b bf26e72e | 00000000 00000000 00000000 0
case 73 bf3706e8 3f99a31b 3f9d5938 bfc1582b c076b4ec bea6b960 3ef19d77 3f61b3cb 3ee2abc6 bb858100 00000000 41138058 c06c449f bdefc7aa bf7e3d46 | 00000000 00000000 00000000 0
case 74 3e9830e6 3ef11854 be5a7e20 bf00f914 3f7a0ff0 3fa07840 3f800000 00000000 3a079b00 be0ed184 3e931b40 3fbaf09c 40bf53d1 3f800000 00000000 | 00000000 00000000 00000000 0
case 75 be384342 befe1917 3e88b17b 3ea3f549 be6359c0 3fe37ac8 bea9f9c4 bf717b22 bcca3e60 bbad4160 3ebb4010 406adc85 bf723b68 bf6b0794 becaf2ff | 00000000 00000000 00000000 0
case 76 bea43737 bced1b48 3e65cd0e 3e389738 3f28d654 bf86c38e 3f699f5e bed158bf bdcc7266 3d52c674 3edcddd4 3f5b4b98 bf71bf5c becc2eba bf6ac32b | 3d605448 3f7f9da2 00000000 1 3f6dcb2b bf922eef 3e89e9ae bdb6b60d 3d93fc98 be4a7a06 bea61d18 0
case 77 bfa8ee16 bf1a6f3d 3fb392ea bd15e8b0 3da46100 4016b02c bf72a780 bea327b2 bdbae974 3e469d8c 3f727b66 3e5f7449 4045de83 be3b7d1b bf7bac23 | bf014f29 3f5cf104 00000000 1 3f3647d0 402a0477 3f21bbb0 3e9aa25a 3efcd57c beded05e bf42a28a 0
case 78 be81104d 3e0487da 3ea5f0b1 beb14bb2 400a1494 403cfffa 3f800000 00000000 bd1ff60c bd637696 3dc5ebf3 40141d3d 4032abd3 3f800000 00000000 | bf22fca6 bf456954 00000000 1 40143a72 40324855 3e225dd8 be2b7a55 3ae9a400 bbc6fca0 bd8520c4 0
case 79 bf43242e bdbabc25 3f1f4126 3e95488a 3f1dcf40 3fea28d4 3f7f3965 bd9f5239 3d29ac88 bdd42c0f 3ec96b2c 3ec872d2 3feacf52 bf2596e0 bf433bce | 3e434628 bf7b4d58 00000000 1 3e7cee9c 40046b6d bebd2732 3e757031 be13f708 3e703c41 bec30f2e 0
case 80 bf14d1e3 bdacf14c 3f11f21d 3cdcc650 3fa478c8 3f7448e8 3f763d99 be8c05bd 3cbab7e0 3c977798 3eb1157c 3fa8e4b2 3f780566 3f1039c5 bf5381a4 | 3e37e51a 3f7bd68d 00000000 1 3fa7fec9 3f449926 3ce1805a be3ebf09 bbe5e898 be4db101 be99d60a 0
case 81 be81ffc8 3bead43f be828140 3befefc1 40e55048 c1039c47 bf108767 bf534c9e bbcd8180 3e99f734 3f0b1496 40e919a9 c102f74b 3f314024 3f38b615 | bf7d1402 3e1a4500 00000000 1 40eea5b9 c100ab5a 3e95570c 3e3c3b5d 3e3181f8 3e12fc5d be938540 0
case 82 be5437c4 be17c336 3e655e1a 3e00ce08 3f149f2c bfbc6278 3f800000 00000000 3df2ade4 3e0c5f1a 3e36e4a1 3f1d7978 bfbe3dc8 3f800000 00000000 | bf094953 3f581339 00000000 1 3f4a7e7a bfb84041 3e577d38 3d0446ec 3e341408 3d3fb0ec be12b981 0
case 83 3f44df2d 3e7898bc bf1c49b5 bdff3663 bee305c8 bfb5d86b bf63cbae 3ee99ffa bd8a59e2 3dab7bbe 3e5568de beea0e2a bfb16105 bac6617f bf7fffed | 3e5906c1 3f7a2f31 00000000 1 bed2a971 bfbf4303 3d02e2ba bd96a982 3d3b25ca bdde1fe2 bd68eb78 0
case 84 3c2cf0f8 beb05e5e be153924 3e9559a8 bf15c22c bf835a87 3f7f71eb bd86c89f 3d2e2c94 bd450324 3ea624e6 bd61d840 befda49e be41ab8c bf7b6132 | 00000000 00000000 00000000 0
case 85 3f848a56 3ffede76 bf32bd7f bfa27efe 4064a8c8 c09fc7c0 bf705a48 3eb041ab bc5d41c0 bda7f950 3f85470a 403b7625 c024f498 3e776ef8 3f7869ff | 00000000 00000000 00000000 0
case 86 bdbaf5c3 3f2aa64c 3dbb008f bf105d3e 3ec69d90 401b1eb6 3f800000 00000000 bb3a4e40 bb001ac0 3e225978 bdc62d58 3fecfad4 3f800000 00000000 | 00000000 00000000 00000000 0
case 87 bd52bbe2 3ed7dd98 3df9eb77 bf21a15e bfc73c8e 4031a4e4 3f305d44 3f398ebf bd807368 bdad3ef4 3ee32a60 c0108945 4042911c 3f7c3089 be3004d4 | bf7d84ea be0e362c 00000000 1 bff2bee6 4041db5e beae0961 3e81b3d2 3eb94e8f bc35bdc0 bb155100 0
case 88 3e360284 bedbb873 bc634348 3ea4101d 3fbc36f8 3fadbddc 3d7bee73 bf7f83eb 3cce4b38 bd891845 3ed69146 3fe9804e 40c30360 bf7c1318 3e32a285 | 00000000 00000000 00000000 0
case 89 bee2a40c 3f99dc22 3f723988 bf6a2430 bfb5ff70 c08b5e97 3f65c23a bee1cdfb 3d81e900 be24bd4a 00000000 40bf17d3 c17a6938 3ecc6817 bf6ab6b0 | 00000000 00000000 00000000 0
case 90 bed548e5 3e77614a 3e8293bf bd44015e bf9e1a3c 3c93c180 3f800000 00000000 bdcb7d98 bd1ca93a 3ee66666 404ea800 bfcd6a14 3f800000 00000000 | 00000000 00000000 00000000 0
case 91 bec78db7 3d30d5d9 3f09c081 bd5516ed bff3fae8 3fda74b8 bf28dad6 bf406a95 bda39214 3b0ae780 3e680803 c062907b c030382a 3f67e4a4 bed8e6ce | 00000000 00000000 00000000 0
case 92 3edb2d57 be2cadb4 bef5dd73 3e5ce84a 3ee1bbc0 bf8bdc98 3f7dfef4 bdffc242 bd852d0b bbf92860 3e06a240 3ee27055 bf5e1fdd bf40c372 bf28755f | 00000000 00000000 00000000 0
case 93 bf8a3a4b 40097cb8 3fa776c5 bfc8299c 4099aab4 4107074e 3f5263d3 bf11d976 bea48b49 3ed8fbb2 3ed19aa3 40ab5773 410f257d 3e578490 3f7a4410 | bf7fd912 3d0d2440 00000000 1 40a58f7b 410b616a 3ebe4c77 3e8b437a be38fef2 be7104cc be5d066c 0
case 94 3f38638b 3c8d0ea4 bf2c6267 be3eb296 c01245a4 3fe944d4 3f800000 00000000 bb6e81c0 bd72a6b2 3dd71a15 c00cb1ea 4001e91d 3f800000 00000000 | 00000000 00000000 00000000 0
case 95 3ead6242 be8fa3e6 bea23344 3e7de6f0 3f849a08 3e3b3980 bf0b4607 3f56ccb4 3e0cfd80 3c941790 3eac7bf2 3f50239d 3e1bdf8c bf691c31 bed39e7c | bf7ea254 3dd3474c 00000000 1 3f83b109 3d353568 bbe8ff50 be0dec26 3e5cf9d2 bddd2464 bb36a400 0
case 96 3f3d4045 3c136780 bf2571bb 3e3e6e7f 3d95e920 3f693ed0 bf7dd2a9 3e05438e bb9f27a0 3d7049e0 3ed8804a 3d56ebbc 3f713ede 3f222505 bf461a95 | 3e8269d6 3f778e67 00000000 1 3c95c9c4 3f315ce7 bd60ed5e be5f87a3 bd0c06da be7f87db be7adbfd 0
